text,title
"israel appear to have be blindside by hamas 's announcement on monday that it have agree to an egyptian - qatari ceasefire proposal . but the israeli government quickly make its position clear – the proposal be not something it would agree to , and , to make matter more explicit , its military force take control of the palestinian side of egypt 's border with gaza in rafah .",‘the goal is to destroy gaza’: why israel rejects a ceasefire with hamas
"dozen of palestinians have be kill in heavy israeli bombardment of the central gaza strip , as we , qatari , and egyptian mediator plan to resume talk on a propose ceasefire and captive release deal .",israel expands gaza offensive as mediators’ ceasefire bid continues
"the united nations general assembly ( unga ) have back a palestinian bid to become a full un member by recognise it as qualified to join and recommend the un security council "" reconsider the matter favourably "" .",united nations general assembly backs palestinian bid for membership
israel 's military spokesman say hamas deputy military commander marwan issa be kill early this month in an israeli attack on the gaza strip .,israel claims senior hamas commander marwan issa killed in gaza strike
nan,palestinian who was shot and tied to israeli army vehicle describes ordeal
this live page be now close . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: hamas studies proposal in ‘positive spirit’
"palestinian muslim be mark a tense and sombre last weekend in ramadan , as israel 's war on gaza approach the six - month mark .",palestinians mark last days of ramadan on the eve of six months of war
israel 's communication minister have order that a camera and broadcasting equipment seize from the associate press ( ap ) news agency in southern israel should be return .,israeli minister orders return of equipment seized from ap news agency
nan,spain formally recognises palestine as a state
"israel 's finance minister bezalel smotrich have declare 800 hectare ( 1 , 977 acre ) in the occupied west bank as state land , in a move that will facilitate the use of the ground for settlement building .",israel seizes 800 hectares of palestinian land in occupied west bank
nan,doctors make appeal to un to stop the suffering in gaza
nan,the app helping people boycott brands supporting israel
"israeli prime minister benjamin netanyahu will address a joint meeting of the united states congress on july 24 , accord to top we lawmaker .",gaza war: israel’s benjamin netanyahu to address us congress on july 24
"israeli force have kill at least three palestinians during a raid in the jenin refugee camp in the occupy west bank , the palestinian health ministry have say , as israel intensify its deadly attack in the territory .",israeli forces kill three palestinians in raid on west bank’s jenin
this live page be now close . you can continue to follow our coverage of the war in gaza here .,"israel war on gaza updates: gaza gov’t says 3,500 children at risk of dying"
nan,displaced palestinian cooks maqlouba during wartime for his family
president joe biden have say the united states will set up a temporary pier off gaza to deliver humanitarian supply to the besiege enclave as palestinians begin to starve during israel 's blockade of the strip .,why is the us setting up temporary port off gaza for aid deliveries?
nan,israeli forces accused of new massacre of people waiting for gaza aid
"here be how thing stand on wednesday , april 4 , 2024 :","israel’s war on gaza: list of key events, day 181"
united nations secretary - general antonio guterre express increase concern over the escalate war of word and deadly border clash between israel 's military and lebanon 's hezbollah fighter .,‘world cannot afford lebanon becoming another gaza’: un chief
"cape town , south africa – "" we can not allow supporter of baby killer to talk to we , "" a furious resident of surrey estate in cape town shout as he heckle the speaker at the podium .",will israel’s war on gaza sway south africa’s election?
"deir el - balah , gaza – on a cold night three week ago , aida al - baawi rush from the makeshift tent she have make home to the town 's nearby al - aqsa martyrs hospital and , amid the ongoing war , give birth to her daughter .","in gaza, babies have no more nappies, milk, as israeli bombing continues"
nan,un security council meets after iran launches attack on israel
"the biden administration have tell congress that it plan to send a $ 1bn package of military aid to israel , accord to medium report , despite the united states 's opposition to a full - scale invasion of rafah in southern gaza and concern about rise civilian death .",biden administration plans to send $1bn in military aid to israel: reports
nan,footballer el ghazi promises to continue fighting for palestinians
the head of the world health organization ( who ) have say that only the expansion of land crossing for aid delivery into gaza could help prevent famine in the densely populate palestinian enclave .,who chief warns the ‘future of a generation in peril’ as gaza famine looms
"for the first time since israel 's war on gaza begin in october , united states president joe biden have admit american weapon have be use to kill civilian .",will joe biden do more to stop israel’s assault on rafah?
"ten of thousand of israelis have march in jerusalem , call for increase effort to free captive hold in gaza and the removal of prime minister benjamin netanyahu .",tens of thousands of israelis rally against pm netanyahu in jerusalem
"israeli prime minister benjamin netanyahu have criticise the administration of us president joe biden for "" withholding weapon "" to israel in recent month as it press its war on gaza .",netanyahu slams us for ‘withholding’ weapons to israel
"we , a diverse group of employee at the max planck society ( mps ) , germany 's top research institution , be write this letter to express our disapproval of the position our employer have take on israel - palestine and call for a serious change in discourse , both within the mp and in germany as a whole , about israel - palestine .",the max planck society must end its unconditional support for israel
"beirut , lebanon – israel 's decision to withdraw the majority of its troop from gaza – at least temporarily – have analyst in lebanon anticipate an intensification of some sort against lebanon 's hezbollah to israel 's north .",what will the future bring between hezbollah and israel?
this live page be now close . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: ground forces invade bureij refugee camp
"the united states have once again issue a strong warning to israel over its lack of a post - war strategy for gaza , leave open question about how the territory will be govern and stablise .","israel cannot win gaza war without ‘day-after’ plan, blinken warns"
