0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-4.5892015,-1.137677,3.914472,1.5103434,0.5436844,-0.6538492,0.5708725,0.221094,0.42234272,-0.73969364,-0.84319615,-0.34298113,0.7430702,0.6477542,-0.06790685,1.4851167,1.1041307,-0.43774584,0.2849557,0.542233,-0.13408776,0.6722155,0.5739781,0.008177269,-0.07575443,-0.35486862,-0.24553287,-0.15578963,-0.35338864,-0.2843623,-1.2885876,1.0143806,0.41573733,1.6393459,-0.3834017,1.0964223,0.3790326,0.19955401,0.12588441,0.19866383,-0.20903066,0.30179507,0.26992613,-0.1970149,1.7982626,-0.28416252,0.16216269,0.31616923,1.1613493,-0.49998847,-1.0546992,-0.65966463,-0.29809278,-0.27515906,0.4394838,0.6194566,0.4987859,0.17835175,-0.9033574,0.26509085,-0.06713807,-0.37587354,-0.44078615,-0.68402046,-0.59626746,-0.13717438,-0.051902786,-0.49300376,-0.48052445,0.28647956,-0.44056463,-0.43488052,0.048970465,-1.0651017,-0.5920264,0.54942626,-0.17807063,-0.086005226,0.55371267,0.15168256,0.07339404,0.82313144,0.021192366,0.1128625,-0.7230132,-0.33277974,0.13779294,0.43119967,0.120118946,0.21742155,0.00072744273,0.09881016,0.36149243,-0.7009495,-0.8006267,-0.14616995,0.4685888,-0.028608706,-0.3218429,0.21287388
-0.7079359,0.75796354,0.07862252,1.0128596,0.49338636,1.564482,0.9266033,-1.7199771,-1.3724198,0.49939302,0.5671197,0.15084483,0.887166,-0.14873755,0.3573085,-0.71828264,1.1112392,-0.08947793,0.22787777,-2.4217992,0.5330378,0.6348195,0.19012466,-0.3098992,0.53045624,-0.417131,-0.6430767,0.520596,-0.1739392,0.4537258,-0.40219742,0.45499545,0.0902306,-0.8688953,0.2655523,0.0781127,0.04499879,0.16088074,-0.05015455,-0.027111784,0.002507434,0.23945482,0.15684493,-0.09611046,-0.25800827,0.4300754,0.75795513,-0.70262086,0.45522374,-0.4856322,-0.65686005,0.9614238,-0.9646308,-0.30920124,0.5117335,0.5021314,0.4461414,-0.0922368,-0.49306706,-0.20138735,-0.6011451,-0.022778342,0.2148302,-0.6714807,0.212722,-0.0015257238,0.48723635,-0.2871961,0.40597427,-0.3032319,0.37447235,0.36012462,-0.9195723,0.08719487,-0.0787105,-0.70455533,-0.3519991,-0.6236064,-0.008809639,-0.21449146,0.5608433,-0.14811255,-0.19491236,0.15652889,0.042436782,0.19844306,0.042500965,-0.21063946,0.5045927,0.20896591,0.30578035,-0.057788882,0.49892908,0.16332822,0.23300101,-0.03452479,-0.5320418,-0.36638737,0.11295233,0.076487154
0.20075117,1.1057779,-2.3105574,0.6765958,1.4808154,0.23953485,-0.7075245,-0.5793752,-0.4666184,0.19922228,-1.2721243,-1.0642288,0.028605085,0.7962287,0.35795683,0.41752562,0.43026948,0.23400596,-0.7763412,0.5625964,-0.3238898,0.24088234,0.8536632,0.522925,0.033446614,0.07356996,0.4629407,0.49205342,-0.12679,-0.55135906,-0.06579903,0.3898947,-0.6949131,-0.7365893,-0.03188464,-0.5223433,0.30080515,0.03484991,0.21953335,0.41759375,-0.42833906,-0.33088702,-0.081109315,-0.07336716,-0.23609816,-0.45454806,-0.20606409,0.26261964,-0.1882808,0.095902495,-0.20435831,-0.466899,0.028126147,-0.1772942,-0.013294801,0.38544044,0.093515344,-0.48117188,0.32944733,0.18673667,0.16161434,0.42923674,-0.10500283,-0.00014355389,0.061575387,0.08316206,-0.25063026,-0.12394752,-0.3441803,-0.1101997,-0.50021166,0.1665232,0.40810996,-0.14621897,0.5394109,-0.015167097,0.2114011,-0.25368014,-0.060712006,0.109249875,0.21125744,0.14086646,0.12657154,0.22284459,0.06547136,-0.03507042,-0.23645927,-0.25513732,0.14062132,0.3751809,-0.20705713,0.12889196,0.013320787,0.36073628,0.03642878,0.006583477,-0.20354381,0.09767806,0.31924093,0.093139306
-2.8901253,-2.037053,0.56664777,-0.80748886,0.33978054,0.25463268,-2.4917767,-0.11572497,0.7811394,2.7526782,0.058547616,0.6217308,0.571155,0.6367214,0.04997149,0.6274838,-0.57416624,-0.041252933,-0.56695825,0.19678673,-0.7354603,-0.15223067,-0.36360076,-0.46336433,0.25998175,0.4493877,0.14497264,0.5788329,-0.5831708,1.0383556,-0.030408077,0.2331759,-0.24290466,0.07330933,0.48639524,0.03536758,0.038098235,-0.09531727,-0.07361985,0.2387159,0.114656664,-0.46225178,0.15746425,-0.28253436,-0.1407001,0.070377566,0.1227185,-0.19854659,-0.29006308,-0.608658,-0.8007981,0.22930479,-0.024885362,-0.3226603,-0.10856796,0.11401923,0.0075808633,-0.07848094,-0.43758994,0.14940849,0.20450681,0.10727512,-0.50919497,-0.10350701,-0.20528032,0.43618357,-0.28587452,0.080953136,-0.09337275,-0.15546797,0.52154696,0.07716988,0.16538985,-0.08143397,0.23977177,0.06381254,-0.08170046,0.025514688,0.18900913,0.12087431,-0.4898753,-0.13854992,0.30838883,-0.054918,-0.16373177,-0.09970045,-0.16538794,-0.061696626,-0.19798458,-0.13438883,0.17731096,-0.275457,-0.3292091,0.14233288,0.11077846,0.11808294,-0.052256934,0.3719571,-0.23240402,0.007759515
-1.0303874,0.94530916,0.08713669,-0.9402356,1.2742763,-1.5402087,-1.0825135,0.9928611,-0.25279614,-0.80339915,0.28557736,0.5517562,0.7350861,0.64473754,-1.0059137,-0.93751675,-0.12440996,0.04154265,-0.23999512,0.42206413,-0.273357,-0.2261116,0.675513,0.18466882,0.6513838,0.09059978,0.39203545,-0.038243074,-0.18402162,-0.09049966,-0.15342315,-0.026724426,-0.20127703,0.47086102,0.31191796,0.35293457,0.73648024,-0.060619924,-0.058150496,0.11387573,-0.3731849,-0.04151673,0.31094718,0.04586148,-0.15620533,-0.17322096,0.22276692,-0.07648794,0.061510783,-0.14275445,0.3179613,-0.19239695,0.2680396,-0.26283795,0.56633586,-0.24540761,-0.30027625,-0.10341845,0.010756539,0.5320596,-0.6776124,0.31408843,-0.06005523,0.0021590418,0.0783397,-0.33301446,0.0019285564,0.5348594,-0.43555912,-0.24543162,-0.08567247,0.16328816,-0.07309909,-0.10974915,-0.2549735,-0.22634016,-0.40715432,-0.005714128,0.1207599,-0.22837605,0.41811883,-0.42647016,-0.24869661,-0.09477929,0.15535827,-0.05358706,-0.08368062,-0.10762954,-0.455134,-0.06846356,0.09536371,-0.006795972,-0.16739292,0.004502415,0.28216812,0.029930323,-0.0076405513,-0.059539795,-0.14809278,0.064392306
4.416034,-1.887068,1.1332473,-1.3412166,2.8791685,-0.2880906,2.0232778,-1.268624,0.43144524,0.29439119,-1.3648206,0.07436507,0.87289524,-0.28263006,0.30102494,-0.25398624,-0.17301415,0.46134117,0.2416997,-0.9210159,0.22721836,-0.23758972,-0.500808,-0.6124736,0.012642412,0.072149344,-0.29119918,0.51210475,0.9840193,-0.3803978,-0.5548164,0.23508127,1.0923996,0.3673264,-0.067986384,-0.22581553,0.21171026,0.2440659,-0.8763518,0.8632362,-0.014864605,-0.32229367,0.12408719,0.72322226,-0.009021844,0.23015383,0.6283243,0.10371978,0.025606656,-0.43442854,-0.19684698,-0.45832634,0.3910636,0.080461554,0.45063213,1.1095407,0.22884937,0.44131598,-0.027951334,-0.33914512,0.9764359,0.26995647,0.1874152,-0.0038944439,0.064924546,0.033307176,0.22194302,-0.31945205,-0.15216486,0.5184501,0.1341032,0.2777658,-0.50807494,-0.5300729,-0.12330164,0.3045898,0.016072286,0.034029108,-0.11019336,-0.41893682,0.040754862,0.052377224,-0.22137244,0.35935798,0.09233074,0.0847507,-0.36235547,0.6021809,0.07710682,-0.07551606,0.23214108,0.065470256,-0.42407694,0.3062939,-0.006817284,-0.02064595,-0.58337605,-0.33748558,0.62075603,-0.02811276
-1.2683245,0.49445254,0.8418298,-1.9566724,1.856794,-1.1350578,2.165632,-0.13775809,-0.7448313,-0.87111217,-0.6711123,0.3843378,0.5722273,-0.26901025,0.48662323,-0.020095391,-0.13682863,-0.083203115,0.79402536,-0.21072035,0.22416595,0.4605114,-0.35470298,-0.4489928,0.17710938,-0.027836638,-0.3245477,0.21745434,-0.6417745,0.5551515,-0.06027201,-0.30675548,0.3152422,0.4100014,0.4650076,-0.49583077,0.87613916,-0.10284451,0.41298452,0.03752299,-0.51662374,0.19585447,-0.89855295,0.06709561,0.35235512,-0.34313452,-0.7264764,-0.16885743,-0.03462113,0.24693966,-0.018816894,-0.40398854,0.024991797,-0.5752657,-0.32772368,-0.099369854,0.066021375,-0.68931377,0.4324695,-0.41883707,-0.20406894,-0.24722041,-0.2684786,-0.056699622,0.033397887,0.2440986,0.445452,-0.052860357,-0.54111457,0.21218216,-0.020834766,0.03962039,-0.44545797,0.70244795,0.16648135,-0.23276445,0.17447597,0.18545039,0.038042128,-0.14425778,0.70179313,-0.17849186,-0.4144903,-0.36721948,-0.017266462,0.33255738,0.013043251,0.25933507,0.24790682,-0.10250489,0.2701953,0.6189829,0.007089272,-0.0046595237,0.35050377,0.2266518,-0.0707793,0.12285957,-0.60449755,-0.19689775
1.8942726,0.25441527,-2.890308,-0.42726338,-0.12312077,-1.8218844,0.04040676,0.30999753,0.8514762,-0.09798201,-0.051363233,0.33357617,-0.64491427,-0.33103395,-0.124533065,0.32433957,0.13813606,0.3140607,-0.27573624,0.21274866,0.094091,-0.76231134,-0.12620956,-0.01358896,-0.94965255,-0.35083315,-0.19314219,0.5095748,-0.2921273,-0.16716337,-0.12010061,0.69209886,0.030525936,-0.2141695,0.40116477,-0.050428066,-0.06066299,0.19704904,0.2132191,-0.29224882,-0.22619364,0.14736581,0.21331549,0.40300548,0.07775564,0.3431932,0.09157961,0.23471816,-0.31202132,-0.009642902,-0.62046635,0.12373581,-0.41756836,-0.0039337752,0.040655233,-0.26284856,-0.34911332,0.2059193,0.67810273,-0.3359911,0.2620486,0.063293144,-0.42727965,0.096598946,-0.13473353,0.011513508,0.009845387,-0.06488764,0.077398434,0.14034137,0.019789204,0.29347283,-0.15968288,0.06662355,-0.0065287296,-0.48589364,0.3039489,-0.002974664,0.25659937,0.09243283,0.04265778,-0.08898595,-0.27087292,0.052325837,-0.07557761,0.091957785,0.13106988,-0.016019443,-0.3079872,-0.15003349,-0.15604402,-0.15929614,0.19196118,0.010590223,0.05369548,0.0938082,-0.09277835,0.09149011,0.108473346,0.34410912
-0.29659712,-1.0841138,0.5845908,1.547912,-1.5109916,-3.0801122,-0.4422531,0.6039269,1.7376137,-0.8825804,-0.13867868,1.0987365,1.1347269,-1.1815262,1.0810126,0.7263191,0.9278466,-0.21295507,0.1265115,-0.4445754,-0.5487123,-0.41502604,0.4614645,-0.34603542,0.6400417,0.6700336,-1.1293248,-0.11736716,1.2346634,-0.022710614,0.9233264,0.73227996,0.5294463,-0.5898416,0.8408843,-0.5787775,-0.28877208,0.35097325,0.2648918,-0.6722785,-0.27392334,-0.10507171,0.4829588,-0.26478904,0.40192676,-0.22875386,0.29493204,-0.20257571,-0.5384144,-0.3701945,0.14363001,0.91362035,0.7746037,0.23986466,0.29676372,-0.7778825,-0.42800167,-0.2865252,-0.2337258,-0.17413712,0.11594067,0.55202913,-0.08415329,0.448289,-0.30388838,-0.23995422,0.19528438,0.55716145,-0.46506092,-0.004059797,0.07154105,0.28818247,0.09810352,-0.1885258,-0.086114176,0.38397703,-0.47122845,-0.009053511,-0.22622935,-0.29441097,-0.1576158,0.26020363,-0.007678278,-0.2872235,0.32122752,-0.13490146,-0.20304348,-0.23387137,0.014855447,0.21545975,0.2597433,0.3163171,-0.16899554,0.004731338,-0.06205298,0.12409198,0.19730912,-0.02408194,-0.62493515,0.5585648
3.744267,1.3247758,1.9452257,3.2369955,-1.1375175,-0.3829335,1.7412938,-0.5536552,-0.09953957,1.4716332,0.18005185,0.74969006,-0.30555618,0.27767196,-0.39056912,0.4063366,-0.6229428,-0.5753408,-1.4506414,-0.7608522,0.08982776,1.8347852,-0.7913172,0.23287825,-0.6134356,-0.045663908,0.1360706,0.8316833,-0.47739148,-0.47364143,0.6136959,0.43470627,0.49459773,0.73727745,0.025658444,-0.060386866,0.24090981,0.5182375,0.25503922,-0.34316027,-0.22664188,0.73048794,0.38940954,0.19506645,0.40901536,-0.05999558,-0.5097942,-0.09816285,-0.09243309,0.19652152,0.28728953,0.27091452,-0.18382762,-0.07880517,-0.3066936,0.03664179,-0.18602724,0.21532534,-0.09440952,0.15749456,0.3122753,-0.17809322,-0.3089638,-0.03182611,-0.0074928724,-0.5825175,0.28330335,0.2175578,0.74751955,0.47651097,0.207326,-0.62986606,-0.025922766,-0.082260944,0.33023867,-0.5010752,0.066961445,-0.034858134,-0.24273589,-0.13053165,0.38281485,0.13067167,-0.36458603,0.10972842,0.8132058,-0.3758981,-0.42918813,0.09003279,-0.296745,-0.32418898,0.15107624,-0.20057648,-0.20884283,0.28846058,-0.26218623,-0.693894,-0.16049139,0.18833078,-0.04474378,-0.16971685
