text,title
"there are "" reasonable grounds "" to believe israel is committing genocide in the besieged palestinian enclave of the gaza strip , according to a report issued by a united nations - appointed expert .",un expert accuses israel of ‘genocide’ in gaza
"israel appears to have been blindsided by hamas's announcement on monday that it had agreed to an egyptian - qatari ceasefire proposal . but the israeli government quickly made its position clear – the proposal wasn't something it would agree to , and , to make matters more explicit , its military forces took control of the palestinian side of egypt's border with gaza in rafah .",‘the goal is to destroy gaza’: why israel rejects a ceasefire with hamas
"dozens of palestinians have been killed in heavy israeli bombardment of the central gaza strip , as us , qatari , and egyptian mediators plan to resume talks on a proposed ceasefire and captive release deal .",israel expands gaza offensive as mediators’ ceasefire bid continues
"the united nations general assembly ( unga ) has backed a palestinian bid to become a full un member by recognising it as qualified to join and recommending the un security council "" reconsider the matter favourably "" .",united nations general assembly backs palestinian bid for membership
israel's military spokesman says hamas deputy military commander marwan issa was killed earlier this month in an israeli attack on the gaza strip .,israel claims senior hamas commander marwan issa killed in gaza strike
nan,palestinian who was shot and tied to israeli army vehicle describes ordeal
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: hamas studies proposal in ‘positive spirit’
"palestinian muslims are marking a tense and sombre last weekend in ramadan , as israel's war on gaza approaches the six - month mark .",palestinians mark last days of ramadan on the eve of six months of war
israel's communications minister has ordered that a camera and broadcasting equipment seized from the associated press ( ap ) news agency in southern israel should be returned .,israeli minister orders return of equipment seized from ap news agency
nan,spain formally recognises palestine as a state
"israel's finance minister bezalel smotrich has declared 800 hectares ( 1 , 977 acres ) in the occupied west bank as state land , in a move that will facilitate the use of the ground for settlement building .",israel seizes 800 hectares of palestinian land in occupied west bank
nan,doctors make appeal to un to stop the suffering in gaza
nan,the app helping people boycott brands supporting israel
"israeli prime minister benjamin netanyahu will address a joint meeting of the united states congress on july 24 , according to top us lawmakers .",gaza war: israel’s benjamin netanyahu to address us congress on july 24
"israeli forces have killed at least three palestinians during a raid in the jenin refugee camp in the occupied west bank , the palestinian health ministry has said , as israel intensifies its deadly attacks in the territory .",israeli forces kill three palestinians in raid on west bank’s jenin
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,"israel war on gaza updates: gaza gov’t says 3,500 children at risk of dying"
nan,displaced palestinian cooks maqlouba during wartime for his family
president joe biden has said the united states will set up a temporary pier off gaza to deliver humanitarian supplies to the besieged enclave as palestinians begin to starve during israel's blockade of the strip .,why is the us setting up temporary port off gaza for aid deliveries?
nan,israeli forces accused of new massacre of people waiting for gaza aid
"here's how things stand on wednesday , april 4 , 2024 :","israel’s war on gaza: list of key events, day 181"
united nations secretary - general antonio guterres expressed increasing concern over the escalating war of words and deadly border clashes between israel's military and lebanon's hezbollah fighters .,‘world cannot afford lebanon becoming another gaza’: un chief
"cape town , south africa – "" we cannot allow supporters of baby killers to talk to us , "" a furious resident of surrey estate in cape town shouted as he heckled the speaker at the podium .",will israel’s war on gaza sway south africa’s election?
"deir el - balah , gaza – on a cold night three weeks ago , aida al - baawi rushed from the makeshift tent she had made home to the town's nearby al - aqsa martyrs hospital and , amid the ongoing war , gave birth to her daughter .","in gaza, babies have no more nappies, milk, as israeli bombing continues"
nan,un security council meets after iran launches attack on israel
"the biden administration has told congress that it plans to send a $ 1bn package of military aid to israel , according to media reports , despite the united states's opposition to a full - scale invasion of rafah in southern gaza and concerns about rising civilian deaths .",biden administration plans to send $1bn in military aid to israel: reports
nan,footballer el ghazi promises to continue fighting for palestinians
the head of the world health organization ( who ) has said that only the expansion of land crossings for aid deliveries into gaza could help prevent famine in the densely populated palestinian enclave .,who chief warns the ‘future of a generation in peril’ as gaza famine looms
"for the first time since israel's war on gaza began in october , united states president joe biden has admitted american weapons have been used to kill civilians .",will joe biden do more to stop israel’s assault on rafah?
"tens of thousands of israelis have marched in jerusalem , calling for increased efforts to free captives held in gaza and the removal of prime minister benjamin netanyahu .",tens of thousands of israelis rally against pm netanyahu in jerusalem
"israeli prime minister benjamin netanyahu has criticised the administration of us president joe biden for "" withholding weapons "" to israel in recent months as it presses its war on gaza .",netanyahu slams us for ‘withholding’ weapons to israel
"we , a diverse group of employees at the max planck society ( mps ) , germany's top research institution , are writing this letter to express our disapproval of the position our employer has taken on israel - palestine and call for a serious change in discourse , both within the mps and in germany as a whole , about israel - palestine .",the max planck society must end its unconditional support for israel
"beirut , lebanon – israel's decision to withdraw the majority of its troops from gaza – at least temporarily – has analysts in lebanon anticipating an intensification of some sort against lebanon's hezbollah to israel's north .",what will the future bring between hezbollah and israel?
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: ground forces invade bureij refugee camp
"the united states has once again issued a strong warning to israel over its lack of a post - war strategy for gaza , leaving open questions about how the territory will be governed and stablised .","israel cannot win gaza war without ‘day-after’ plan, blinken warns"
the human cost of israel's ongoing war on gaza is becoming increasingly evident .,wfp’s matthew hollingworth on gaza: ‘famine means failure’
"when aid planes dropped packages into the sea off the northwest coast of the gaza strip , yusuf ghaben , a father of nine , decided to swim for them .","in gaza, palestinians drown in desperate attempt to get aid dropped in sea"
"london , england – as the united kingdom gears up for a critical general election , some britons are deciding between party loyalty and independent candidates .",‘politics is broken’: a south african anti-zionist challenges uk’s starmer
nan,people’s protection force patrols gaza market
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: israeli army says hezbollah commander killed
"after china brokered a saudi arabia - iran détente last year , expectations arose that it could parlay its economic clout into a bigger diplomatic role on the palestine - israel issue .",israel’s war on gaza: the view from china
"washington , dc – the white house has cancelled a ramadan iftar meal after several muslim americans declined the invitation in protest of president joe biden's support for israel's war on gaza , according to two people familiar with the matter .",why biden’s white house iftar unravelled amid gaza war
nan,the moment israeli forces bomb tent at central gaza hospital
"deir el - balah , gaza – mohammad sukkar is safe now – or safer – but even as the team at al - aqsa martyrs hospital in deir el - balah work to help him , his eyes fill with tears as he recounts his experience in al - shifa hospital .","as those fleeing al-shifa get to south gaza, they recount israeli torture"
"as lawmakers across much of the west debate the extent to which israel may be hampering the passage of life - saving aid into gaza , the weapons exports that underpin much of israel's war on the besieged enclave continue to flow .",the west is giving israel weapons while discussing delivering aid to gaza
"iran unleashed a barrage of missiles and drones on saturday night and early on sunday , targeting israel in retaliation for april 1's suspected israeli strike on its consulate in damascus , which killed 13 people .","iran attacks israel with over 300 drones, missiles: what you need to know"
"deir el - balah , gaza strip – on international women's day , the women of gaza are continuing their daily struggle to care for their children and families , and to stay alive . four women who have been displaced by israel's war on gaza since october 7 , along with their families , talked to al jazeera about their lives now .",‘i yearn for the girl i used to be’: gaza women tell their stories
"montreal , canada – sitting on a bench in the heart of the mcgill university campus , farrah says that she and her fellow student protesters want their school to listen .",‘greater than an encampment’: why gaza student protests strike a chord
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: new israeli law paves way for al jazeera ban
nan,egypt deals ‘diplomatic blow’ to israel by joining icj genocide case
"the cost of damage to critical infrastructure in the first four months of israel's continuing war on gaza is estimated at about $ 18 . 5bn , a new report by the world bank and the united nations has found .",gaza infrastructure damages estimated at $18.5bn in un-world bank report
"hospitals are supposed to be immune from attack in times of war but israel has repeatedly bombed and shelled them since october 7 , 2023 . this film looks at israel's destruction of gaza's hospitals in the context of its historical expansion at the expense of the palestinian population , going back to 1948 . the israeli army cut off water , power , fuel and medical supplies to gaza and has attacked most of its hospitals . it claims that al - shifa hospital shielded a hamas command centre and attacked it despite the hundreds of civilians sheltering there – but produced little evidence to support that claim . the alleged war crimes that the international criminal court is seeking arrest warrants for on both sides include israel's deliberate targeting of civilians , many of whom have taken shelter in gaza's hospitals .",gaza: the war on hospitals
"here's how things stand on sunday , march 24 , 2024 :","is­rael’s war on gaza: list of key events, day 170"
"the united nations general assembly ( unga ) has overwhelmingly voted to support a palestinian bid to become a full un member by recognising it as qualified to join and recommending the un security council "" reconsider the matter favourably "" .",un backs palestine’s bid for membership: how did your country vote?
australia says it will restore funding to the united nations agency for palestinian refugees weeks after it lost millions of dollars in international support following allegations by israel that some of its staff in the gaza strip were involved in the october 7 hamas - led attacks .,australia to unfreeze unrwa funding as israel attacks gaza aid seekers
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,"israel war on gaza updates: israelis hit with roadside bomb, mortar fire"
aid trucks are entering gaza through karem abu salem crossing in the south as the living conditions of hundreds of thousands of palestinians continue to deteriorate under israel's relentless war on the palestinian enclave .,aid trucks enter gaza after weeks as israeli attacks continue across strip
""" i live out by o'hare . every time a plane flies overhead at night , my hands shake . i'm looking for a place to hide . and then the sirens too – the police and ambulance sirens . i know they're not there , but it feels like soldiers are just outside the windows . we used to watch them walk up and down the road by my grandparents ' house , and we weren't to say anything . they'd harass everyone , beat people up , including my grandpa . we were supposed to stay inside . my cousin was killed , "" my patient told me last november during a psychotherapy session in chicago , home to the largest population of palestinian people in the united states . "" i haven't felt like this , had nightmares like this , since i was a kid . """,the solidarity of shared trauma: de-exceptionalising gaza
"alex cosh is an editor with the status - quo - allergic independent canadian news upstart , the maple .",the canadian arms embargo on israel that was not
"at least five palestinians , including a teenager , have been killed during an israeli military raid in the occupied west bank city of tulkarem .","several killed in israel raid on west bank as us, eu sanction more settlers"
"iran has warned israel of a larger attack on its territory should it retaliate against tehran's overnight drone and missile attacks , adding that the united states should not back an israeli military action .","iran warns israel, us of ‘severe response’ in case of retaliation"
"columbia university has cancelled its university - wide commencement ceremony after it cracked down on student protests in support of palestinians , a campus movement that spurred a wave of similar demonstrations around the world .",columbia university cancels main commencement ceremony after gaza protests
nan,biden urges israeli leaders to ‘stand behind’ gaza ceasefire proposal
""" shoulders ! "" i begged . "" shoulders ! shoulders ! ""","to understand my dad, i needed to learn about the day he was shot"
"london , united kingdom – gillan mosely began questioning her upbringing as a teenager .",‘diaspora jews think judaism is more important than zionism’: uk filmmaker
"the lebanese group hezbollah says it has launched drone attacks on israeli bases north of the city of acre in retaliation for the killing of one of its fighters , marking the deepest attack into israeli territory since the gaza war began .",hezbollah launches deepest attack inside israel since gaza war began
nan,canada police use tear gas on anti-gaza war protesters
"al jazeera's investigative unit ( i - unit ) has carried out a forensic analysis of the events of october 7 , when hamas fighters launched an incursion into israel that has transformed the politics of the middle east .","october 7: forensic analysis shows hamas abuses, many false israeli claims"
"iran's supreme leader ayatollah ali khamenei has praised the country's armed forces for their "" success "" after tehran launched an unprecedented direct attack on israel last week .",supreme leader khamenei says iran demonstrated its power against israel
"volker turk , the united nations human rights chief , has said he is "" horrified "" by the destruction of nasser medical complex and al - shifa hospital in the gaza strip and reports of mass graves found in and around the hospitals amid israel's war on gaza .","as more bodies found, un’s turk ‘horrified’ by gaza mass graves reports"
"four days ago , iraq's airspace had hundreds of projectiles fired from iran flying through it towards israel , caught in the crossfire of what many fear could be the opening salvoes of a regional war dragging in the united states .",iraq’s dangerous balancing act between iran and the us
"here's how things stand on wednesday , april 3 , 2024 :","israel’s war on gaza: list of key events, day 180"
"just like the us did in iraq and afghanistan , israel has entered a war in gaza with vague and overambitious aims .",what if israel’s plan was no ‘day after’ for gaza all along?
"as al jazeera reported in march , israel continues to use white phosphorus munitions in south lebanon , causing lasting damage and driving villagers away even as israeli officials threaten a war across their northern border .",israel white phosphorous attacks on lebanon harming people and ecosystem
"israeli forces have seized control of gaza's rafah border crossing , cutting off a vital route for humanitarian aid and potential sanctuary for civilians from a building offensive .",israel seizes key gaza border crossing as it launches assault on rafah
"the israeli army is reinforcing its positions within the gaza strip , ostensibly before a long - telegraphed assault on rafah and the hamas brigades it says are present there .","gaza, a thorn in israel’s side or its dream?"
this live page is now closed .,israel’s war on gaza updates: school strike contradicts ‘all moral values’
nan,"‘we are not numbers’, children in gaza stage eid protest"
leading shipping industry groups have called for action to halt houthi attacks on vessels in the red sea after the sinking of a second ship .,shipping industry groups call for action after houthis sink second vessel
"one evening in 2004 , when john francis mulligan , a us - born irish citizen , was in the west bank , a stranger asked him to walk her to a funeral .",‘he’s lost my vote’: many irish americans turn against biden over gaza war
this live page is now closed .,israel’s war on gaza updates: 23 killed in air strikes on food-aid workers
"the united states house of representatives is reviewing a bill that calls for a reassessment of the country's relationship with south africa , amid tensions between the nations .",are us-south africa ties at breaking point over israel’s war on gaza?
nan,heckler demands netanyahu’s resignation at holocaust memorial event
"israeli soldiers shot dead two unarmed palestinian men in gaza , their bodies buried in sand and rubbish by an army bulldozer , exclusive broadcast footage obtained by al jazeera has shown .",israeli soldiers shoot and kill two unarmed palestinian men in gaza: video
"a senior us department of state official and expert on israeli - palestinian affairs has resigned this week , united states media reported , amid the eight - month war in gaza that has killed more than 37 , 400 palestinians .",top us state department official for israel-palestine affairs resigns
"at least 15 people have been killed in israeli ground and air attacks on the bureij and maghazi refugee camps in central gaza , a palestinian health official has said .",at least 15 killed in israeli attack on central gaza refugee camps
nan,ramaphosa: we are pleased and sad over icj outcome
seven people working with the united states - based ngo world central kitchen ( wck ) have been killed in the gaza strip in what the group's founder chef said was an israeli air attack .,seven world central kitchen workers killed in gaza: what we know
"last month , the israeli military finally withdrew from gaza's al - shifa hospital after a two - week raid , leaving behind nothing but apocalyptic scenes of death and destruction .",gaza lost much more than a hospital when it lost al-shifa
nan,wck aid worker killings are a ‘message to the world’
nan,palestinian life under israeli occupation
this live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: israel hits rafah as hamas accepts truce deal
nan,yemen’s houthis release video of attack on ship in red sea
the head of the united nations agency for palestinian refugees ( unrwa ) has warned that israel's effort to dismantle it while a humanitarian disaster is unfolding in the bombarded and besieged gaza strip would have devastating consequences if successful .,unrwa head warns of ‘insidious’ israeli campaign to dismantle agency
palestinian footballer mohammed barakat has been killed in an israeli bombing of his house in khan younis during the ongoing war in gaza .,palestine footballer barakat killed in israel’s war on gaza
nan,"palestinian journalist searches for missing mother, only to find her body"
it had barely been three months since palestinian international footballer mohammed balah made his long - awaited return to al sadaqa football club in gaza when israel launched its war on the strip following the october 7 hamas attacks in southern israel .,‘i’ve lost everything’: palestine footballer balah on israel’s war on gaza
"south africa has asked the international court of justice ( icj ) to order additional emergency measures against israel over its war on gaza , the court has said .",south africa asks icj for more measures against israel over gaza ‘famine’
"here's how things stand on saturday , march 30 , 2024 :","israel’s war on gaza: list of key events, day 176"
nan,the take: observing ramadan against the backdrop of war
nan,un security council endorses us-proposed plan for gaza ceasefire
"imprisoned palestinian novelist and activist walid daqqa , who was suffering from cancer , has died in israel's shamir medical center , according to the palestinian commission of detainees and ex - detainees affairs .",terminally ill palestinian prisoner walid daqqa dies in israeli custody
the live page is now closed . you can continue to follow our coverage of the war in gaza here .,israel’s war on gaza updates: no plan to protect civilians in rafah – us
"london , england – as the united kingdom gears up for a general election , trust in the ruling and main opposition parties among some communities is in sharp decline over their positions on israel's war on gaza .","‘as someone with palestinian heritage, i couldn’t stay in the labour party’"
"the death toll in israel's latest military assaults across the gaza strip has risen to 226 and more than 400 wounded , according to the government media office in the besieged territory .",‘bodies scattered on streets’: israel kills 226 in central gaza attacks
"i arrived in rafah in the early hours of october 9 and made my way to my family home in gaza city amid intense israeli air strikes . the next day , i walked with my cousin to al - shifa hospital to begin work , not realising this would be the beginning of a 43 - day nightmare .",i spent 43 days in gaza’s now-destroyed hospitals. my mind is still there.
nan,13-year-old palestinian boy shot dead by israeli troops
"montreal , canada – "" unlivable . "" that's how canada's immigration minister , marc miller , described the situation in the gaza strip in late december .",'mission impossible'
"as israel's brutal war on gaza continues , the 2 . 3 million residents of the besieged palestinian territory face the imminent risk of famine .",how can israel’s war on gaza be allowed to continue?
nan,cross-border fighting with israel leaves lebanese towns in ruins
israel's seizure of the rafah crossing worsens an already dire situation for the 2 . 3 million palestinians in gaza .,will israel face consequences over its seizure of the rafah crossing?
nan,eid prayers by palestinians in gaza and jerusalem’s al-aqsa mosque
